Title;Summary;Publication;Ressort;URL
Arme und Benachteiligte sterben in Großbritannien häufiger;Soziale Ungleichheiten werden durch Covid-19 besonders sichtbar, zeigen Studien. Studentenvertreter fordern den Rücktritt von Bildungsministerin Karliczek. Das Newsblog;2020-05-01T16:55:53+02:00;Wissen;https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-aktuell-infektionen-ausbreitung-live
Brauch' ich das?;Im Kapitalismus hängt alles am Konsum. Der ist mit der Corona-Pandemie in die Sinnkrise geraten. Hat die Wirtschaft, wie wir sie kennen, ihren Zenit überschritten?;2020-05-01T11:00:42+02:00;Wirtschaft;https://www.zeit.de/wirtschaft/2020-05/konsum-kapitalismus-coronavirus-wirtschaftskrise-globalisierung
"""Es ist niemals, niemals passiert""";Der designierte US-Präsidentschaftskandidat hat die Vorwürfe eines sexuellen Übergriffs zurückgewiesen. Die Angaben einer ehemaligen Mitarbeiterin werde er prüfen lassen.;2020-05-01T14:57:08+02:00;Politik;https://www.zeit.de/politik/ausland/2020-05/joe-biden-sexuelle-belaestigung-vorwuerfe-us-demokraten
Vorteil Peking: Bringt Corona China die Weltherrschaft?;Xi Jinping vs. Donald Trump: Wer hat im Kampf um die globale Führung die besseren Karten – und wo ist da noch Platz für Europa? Darüber diskutiert der Politikpodcast;2020-05-01T12:53:03+02:00;Politik;https://www.zeit.de/politik/2020-04/corona-pandemie-weltordnung-china-politikpodcast
"""Die App wird uns nicht retten""";Ansteckungen per Smartphone nachverfolgen? Klingt sinnvoll, aber wie gut das funktionieren wird, sei noch unklar, sagt der Infektionsforscher Dirk Brockmann.;2020-05-01T11:46:08+02:00;Digital;https://www.zeit.de/digital/datenschutz/2020-04/coronavirus-kontaktverfolgung-tracing-app-infektionsketten-lockdown
Klamm, klammer, Kommune;Linoleum und Luxuswasser – die Corona-Krise stürzt überforderte und überschuldete Kommunen ins Chaos. Doch es gibt Auswege: Gemeinden müssten Hierarchien aufbrechen, professioneller werden und Misswirtschaft radikal unterbinden.;2020-05-01T12:42:59+02:00;Wirtschaft;https://www.zeit.de/wirtschaft/2020-05/kommunen-schulden-corona-krise
Heiko Maas, wie regiert es sich in Zeiten von Corona?;"Zurzeit fühlt er sich manchmal wie der ""Chef des einzigen noch offenen Reisebüros"". Dreieinhalb Stunden berichtet der Außenminister über Leben und Arbeiten in der Krise.";2020-04-21T10:45:27+02:00;Gesellschaft;https://www.zeit.de/gesellschaft/2020-04/heiko-maas-corona-krise-interviewpodcast-alles-gesagt
Veganismus;Für das Klima ist eine Ernährung ohne Fleisch, Käse und Eier gut – und für das Wohl der Tiere auch. Aber sind Veganer deshalb die besseren Menschen?;2020-05-01T16:07:21+02:00;Wissen;https://www.zeit.de/zeit-wissen/2020/03/vegane-ernaehrung-naehrstoffe-umweltschutz-ideologie
Hunderte Menschen demonstrieren in Leipzig;Die linken Kundgebungen in Connewitz und der Südvorstadt haben sich am Nachmittag in die Innenstadt verlagert. Auch rechte Demonstranten planten einen Aufmarsch.;2020-05-01T16:32:56+02:00;Politik;https://www.zeit.de/politik/deutschland/2020-05/erster-mai-demonstrationen-leipzig-connewitz-tag-der-arbeit
Der verstummte Sprecher;Neue Details zur Freistellung des AfD-Fraktionssprechers. ZEIT ONLINE konnte die Chats einsehen, über die Christian Lüth stolperte. Darin nennt er sich einen Faschisten.;2020-05-01T12:26:16+02:00;Politik;https://www.zeit.de/politik/deutschland/2020-05/christian-lueth-afd-pressesprecher-freistellung-faschismus
Europaweite Fahndung nach ehemaligen RAF-Mitgliedern;Das Landeskriminalamt lässt in der EU nach drei Ex-Mitgliedern der Roten Armee Fraktion (RAF) fahnden. Sie sollen an mehreren Morden beteiligt gewesen sein.;2020-05-01T16:45:48+02:00;Gesellschaft;https://www.zeit.de/gesellschaft/zeitgeschehen/2020-05/raf-mitglieder-landeskriminalamt-fahndung-europa
Der perfekte Plan;Die DFL hat ihren Hygieneplan nochmals nachgebessert, Experten stimmen mittlerweile zu. Dennoch bleiben unwägbare Risiken. Die wichtigsten Fragen im Check;2020-05-01T11:44:20+02:00;Sport;https://www.zeit.de/sport/2020-04/fussball-bundesliga-corona-massnahmen-dfl-geisterspiele-risiken
"""Wir wollen die Straßen mit unseren Inhalten fluten""";"Die Berliner linke Szene hat zu dezentralen Aktionen am Tag der Arbeit aufgerufen. Der Innensenator will ""auch konsequent vorgehen"". Deeskalation könnte schwierig sein.";2020-05-01T11:57:16+02:00;Politik;https://www.zeit.de/politik/deutschland/2020-05/tag-der-arbeit-berlin-erster-mai-linke-proteste
Totschweigen funktioniert nicht mehr;Die sexuellen Belästigungsvorwürfe gegen Joe Biden stürzen dessen Unterstützer in ein Dilemma. Es geht auch um die Glaubwürdigkeit der #MeToo-Bewegung.;2020-05-01T07:58:52+02:00;Politik;https://www.zeit.de/politik/ausland/2020-05/usa-joe-biden-vorwuerfe-uebergriffe-us-demokraten-metoo
"""Ich vermisse die Leute auf der Straße""";Jahrelang lebte er als Obdachloser, dann bekam Jens Viert eine Wohnung. Es sollte seine Rückkehr in die Normalität sein. Aber in Zeiten des Virus gibt es die nicht mehr.;2020-05-01T17:27:40+02:00;Hamburg;https://www.zeit.de/hamburg/2020-04/obdachlosigkeit-coronavirus-not-social-distancing-leere-strassen
Überall Viren?;Mit dem wachsenden Wissen über die Covid-19-Pandemie tauchen neue  Fragen auf – epidemiologische, medizinische und soziale. Ein Update;2020-04-29T07:27:43+02:00;Wissen;https://www.zeit.de/2020/19/covid-19-risikogruppe-spaetfolgen-nothilfe-coronavirus
Ein System wankt;Die Schulen in Deutschland öffnen wieder. Und schon stellen sich ungewohnte Fragen: Wann brauchen Schüler überhaupt einen Lehrer? Und wozu genau?;2020-04-29T14:29:54+02:00;Gesellschaft;https://www.zeit.de/2020/19/schuloeffnungen-digitalunterricht-corona-massnahmen-social-distancing
"""Die kaufen uns die Hütte leer""";Alle brauchen Masken, Jörg Zimmer stellt sie in Bergedorf her. Das freut die Stadt und schafft Arbeitsplätze für Flüchtlinge.;2020-05-01T11:50:18+02:00;Hamburg;https://www.zeit.de/2020/19/gesichtsmasken-schneiderei-arbeitsplaetze-fluechtlinge-coronavirus
Bis hinter den Horizont;Allein durchquerte Felicity Aston den Kontinent Antarktika – als erster Mensch überhaupt ohne technische Hilfsmittel. Was die Engländerin in Krisenmomenten motivierte: Männer, die einer Frau so etwas nie zugetraut hätten. Folge 15 der ZEIT-Serie über Pionierinnen;2020-05-01T11:33:48+02:00;Entdecken;https://www.zeit.de/2020/19/felicity-aston-durchquerung-antarktika-pionierinnen
Gregor Gysi soll außenpolitischer Sprecher der Linksfraktion werden;Steht der 72-jährige frühere Linke-Fraktionschef vor einem kleinen politischen Comeback? Laut eines Agenturberichts soll er den Posten von Stefan Liebich übernehmen.;2020-05-01T10:28:48+02:00;Politik;https://www.zeit.de/politik/deutschland/2020-05/linke-gregor-gysi-comeback-aussenpolitik-fraktionsvorsitzende
"Anwälte der Nebenkläger beklagen ""Versagen des Rechtsstaats""";"Mit drastischen Worten kritisieren die Juristen das schriftliche Urteil zum NSU-Prozess. Der Rechtsstaat habe die Opfer im Stich gelassen, zu vieles ""totgeschwiegen"".";2020-05-01T13:02:30+02:00;Gesellschaft;https://www.zeit.de/gesellschaft/zeitgeschehen/2020-05/nsu-prozess-nebenklaeger-zschaepe-oberlandesgericht
"""Nutzt diese Energie, legt die Städte lahm!""";Sie gilt als Ikone des zivilen Ungehorsams: Lisa Fithian über Widerstand in Zeiten von Ausgangssperren,  Telefonterror als Taktik und nette Polizisten.;2020-05-01T09:07:16+02:00;Gesellschaft;https://www.zeit.de/gesellschaft/2020-04/lisa-fithian-usa-coronavirus-lockdown-demonstrationen-ausgangsbeschraenkungen-aktivistin
Vapiano steht zum Verkauf;Das schon vor der Corona-Krise angeschlagene Unternehmen ist seit Anfang April zahlungsunfähig. Nun soll Vapiano verkauft werden.;2020-04-30T18:39:38+02:00;Wirtschaft;https://www.zeit.de/wirtschaft/unternehmen/2020-04/restaurantkette-vapiano-insolvenz-verkauf
Der Hausfrauenkomplex;Weibliche Opferbereitschaft wird in der Krise zur gefeierten Tugend. Auch Männer kümmern sich jetzt zu Hause. Mehr als Demut auf Zeit ist jedoch nicht zu erwarten.;2020-04-30T20:11:26+02:00;Kultur;https://www.zeit.de/kultur/2020-04/geschlechterrollen-hausfrauen-vaeter-kinderbetreuung-arbeit-coronavirus
BGH weist Samplingstreit an Vorinstanz zurück;Der Rechtsstreit zwischen Musikproduzent Moses Pelham und Kraftwerk geht erneut an das Oberlandesgericht Hamburg. Der BGH positionierte sich jedoch – im Sinne Pelhams.;2020-04-30T11:52:34+02:00;Kultur;https://www.zeit.de/kultur/musik/2020-04/urheberschutz-kraftwerk-pelham-zwei-sekunden-beat-bgh-urteil
Bund und Länder geben Lockerungen bekannt;Spielplätze, Zoos und Museen können wieder öffnen. Über eine Strategie für Schulen, Kitas und Sporteinrichtungen soll erst kommende Woche entschieden werden.;2020-04-30T22:52:11+02:00;Politik;https://www.zeit.de/video/2020-04/6153255042001/coronavirus-pandemie-bund-und-laender-geben-lockerungen-bekannt
Wer rettet die Festivals?;"Wegen des Coronavirus sind fast alle Musik-Festivals diesen Sommer abgesagt. Gerade kleine Festivals könnten 2021 nicht zurückkehren. ""represent"" über Rettungsversuche";2020-04-29T17:59:35+02:00;Campus;https://www.zeit.de/video/2020-04/6152915304001/festivalsommer-wer-rettet-die-festivals
Ist das der Corona-Effekt?;Bis Anfang April sind mehr Menschen gestorben als sonst, vor allem unter den älteren Personen. Das sagen die aktuellen Sterbefalldaten für 2020.;2020-04-30T22:20:40+02:00;Wissen;https://www.zeit.de/wissen/gesundheit/2020-04/statistisches-bundesamt-coronavirus-tote-sonderauswertung
Die wichtigsten Corona-Nachrichten vom Donnerstag;Spielplätze können wieder öffnen, Museen und Kirchen ebenfalls. Die Kontaktbeschränkungen werden jedoch abermals verlängert: Die wichtigsten News zu Covid-19;2020-04-30T18:16:31+02:00;Wissen;https://www.zeit.de/wissen/gesundheit/2020-04/covid-19-aktuell-coronavirus-nachrichten-am-donnerstag-30-april-2020
Kinder vermutlich genauso infektiös wie Erwachsene;Virologe Christian Drosten warnt vor einer schnellen Kitaöffnung. Die Zahl der Viren in Atemwegen sei laut einer Veröffentlichung bei verschiedenen Altersgruppen gleich.;2020-04-30T13:39:45+02:00;Wissen;https://www.zeit.de/wissen/gesundheit/2020-04/charite-veroeffentlichung-coronavirus-kinder-infektionsrisiko-kita-schuloeffnungen
Keine App mehr, uns alle zu tracken;Die Corona-App der Bundesregierung soll nun doch dezentral funktionieren. Gut so. Nun sollte man nicht den Fehler machen, sie als Allheilmittel zu verkaufen.;2020-04-28T11:46:04+02:00;Digital;https://www.zeit.de/digital/datenschutz/2020-04/datenschutz-corona-app-bundesregierung-probleme
"""Anno 1800"" ist bestes deutsches Computerspiel";"Das Aufbauspiel ""Anno 1800"" wurde beim Deutschen Computerspielpreis mit dem Hauptpreis geehrt. Wegen der Corona-Krise wurden die Preise auf einer Digital-Gala vergeben.";2020-04-28T00:06:15+02:00;Digital;https://www.zeit.de/digital/games/2020-04/computerspielpreis-2020-anno-1800-ubisoft
"
""Ich würde im Moment lieber an der Kasse arbeiten als in der Kita""
";Die Kitas erweitern die Notbetreuung. Erzieher müssen die Kinder trösten, kuscheln und wickeln – und werden selbst kaum geschützt. Das ist für alle gefährlich.;2020-04-30T15:59:58+02:00;;https://www.zeit.de/arbeit/2020-04/kitas-hygienevorgaben-erzieher-coronavirus-infektionsschutz
"
Schon wieder weg
";Nach nur sechs Monaten wechselt SAP seine Chefin aus. Weil sie eine Frau ist?;2020-04-29T06:06:38+02:00;;https://www.zeit.de/2020/19/jennifer-morgan-sap-fuehrungsposition-konzernstrategie-christian-klein
Willi kriegt seinen Stoff nicht;Die Corona-Krise trifft auch die Drogenszene: Während die einen gegen Einsamkeit und Angst ankiffen, zwingen Engpässe Suchtkranke in den unkontrollierten Entzug.;2020-04-30T06:13:09+02:00;Entdecken;https://www.zeit.de/entdecken/2020-04/drogenhandel-coronavirus-abhaengigkeit-entzug-heroin
Sagt den Sommer endlich ab;Die weltweite Reisewarnung wird verlängert – bis Mitte Juni. Die Regierung hätte den Mut haben sollen, Sommerurlaub im Ausland ganz abzusagen. Zögern nützt niemandem.;2020-04-29T13:09:55+02:00;Entdecken;https://www.zeit.de/entdecken/reisen/2020-04/reisewarnung-verlaengerung-sommerurlaub-auswaertiges-amt-bundesregierung
Mitarbeiter proben erstmals Abläufe am BER;Sicherheitskontrollen, Check-in, Gepäck: Beschäftigte des neuen Berliner Flughafens haben so getan, als würden sie verreisen. Nur der Airport-Bahnhof blieb verwaist.;2020-04-30T16:37:11+02:00;Mobilität;https://www.zeit.de/wirtschaft/2020-04/flughafen-berlin-brandenburg-ber-probe-arbeitsablaeufe
Hunderttausende VW-Kunden stimmen Vergleich zu;Die Verbraucherzentralen nehmen die Musterfeststellungsklage gegen Volkswagen zurück. 235.000 Kunden haben sich mit dem Konzern auf Entschädigungszahlungen geeinigt.;2020-04-30T13:57:56+02:00;Mobilität;https://www.zeit.de/mobilitaet/2020-04/abgasskandal-vw-diesel-vergleich-entschaedigungszahlungen
340 freie Beatmungsbetten in Hamburg;Gut 4.800 Menschen infiziert, mehr als 150 gestorben: die Lage in Hamburg im laufend aktualisierten Überblick;2020-04-30T14:00:23+02:00;Hamburg;https://www.zeit.de/hamburg/2020-03/coronavirus-hamburg-schulschliessungen-massnahmen-veranstaltungen-faq
Jetzt erst recht;In den Koalitionsverhandlungen verbindet Sozialdemokraten und Grüne eine gemeinsame Haltung: Was vor der Krise richtig war, ist nun umso richtiger.;2020-04-30T10:33:21+02:00;Hamburg;https://www.zeit.de/2020/19/koalitionsverhandlungen-hamburg-sozialdemokraten-gruene-coronavirus-krise
Boxer Felix Sturm soll wegen Steuerhinterziehung drei Jahre in Haft;Zwischen 2008 und 2013 hat Sturm dem Fiskus mindestens eine Million Euro vorenthalten und muss dafür in Haft. Auch wegen Dopings und Körperverletzung wurde er verurteilt.;2020-04-30T17:57:26+02:00;Sport;https://www.zeit.de/sport/2020-04/felix-sturm-steuerhinterziehung-haftstrafe-landgericht-koeln
Weg von der Bildfläche;Auch der Frauenfußball hat mit der Krise zu kämpfen. Während die Nationalmannschaft auf Highlights lange warten muss, zeigen sich die Bundesligisten zuversichtlich.;2020-04-28T14:13:32+02:00;Sport;https://www.zeit.de/sport/2020-04/fussball-frauen-corona-krise
Sommermärchen gekauft, na und?;Der Sommermärchen-Prozess wird eingestellt. Zwar spricht vieles dafür, dass die WM 2006 gekauft war, aber die wirklich bösen Buben standen eh nicht vor Gericht.;2020-04-28T05:48:21+02:00;Sport;https://www.zeit.de/sport/2020-04/dfb-sommermaerchen-prozess-schweiz-fifa-deutschland-fussball-wm-affaere-2006
